,Unnamed: 0,ssn,cc_num,zip,lat,long,city_pop,acct_num,unix_time,amt,is_fraud,merch_lat,merch_long,trans_year,trans_month,trans_day,trans_hour
Unnamed: 0,1.0,-0.008650219537805242,0.011351040922076304,-0.016128523326584834,0.0033421505847362255,0.019442657285632176,0.021683452708700413,0.015658070971076066,0.00019328116945595402,-0.002671381266326547,0.00019137671448057723,0.003321371904707268,0.019469184456480767,8.82558889586747e-05,0.0003065910581607716,-0.0006314473994194241,-0.0028120637174572707
ssn,-0.008650219537805242,1.0,0.003501235834147962,0.007096818860250495,-0.0103198986086699,-0.007583957516553794,0.0019263739082946748,0.005703020828807769,-0.00028655017825014294,0.0010230107051725865,0.0003188233629872782,-0.010194145848066395,-0.007598138511470416,-0.00022336552195184289,-0.00015269893369865606,-0.00033320179315467343,0.0002356804603245885
cc_num,0.011351040922076304,0.003501235834147962,1.0,-0.02159461170545384,0.0014142980877588254,0.022175000898344586,0.015599921190967711,0.011107841025269401,-0.0008286804797855923,-0.00218701810699439,0.00027151211196817796,0.0014301311554350863,0.02214424045864869,-0.000245644040755942,-0.001155203628764339,-0.001048058038960843,0.00035516257278417633
zip,-0.016128523326584834,0.007096818860250495,-0.02159461170545384,1.0,-0.15464518074335093,-0.9279387037404613,0.10111718663609397,0.0007110732920689886,-0.0007984769124745284,0.0006184365803097046,-0.0010465294645684608,-0.15378980117742494,-0.9273399689886274,-0.0011964863461600573,0.0003860438853238719,0.0011724344596629663,0.0004747878806942586
lat,0.0033421505847362255,-0.0103198986086699,0.0014142980877588254,-0.15464518074335093,1.0,0.10097690628763277,-0.12534190036261222,0.0008756070063468531,0.0003176333671854801,0.001370256444529373,0.00047905386147819787,0.9938690357754105,0.1008415112031701,0.0010062397829277714,-0.0012317352878770072,0.0012165763382539511,0.0026991068339773153
long,0.019442657285632176,-0.007583957516553794,0.022175000898344586,-0.9279387037404613,0.10097690628763277,1.0,-0.053139654712973265,-0.002204466156075582,0.00013126498382669402,-0.0007099696229520258,0.001404880976600449,0.10044103221445784,0.9993849232120073,0.0006133932042540262,-0.0006776157468864545,-0.0015978229027189892,-0.0009237307990288373
city_pop,0.021683452708700413,0.0019263739082946748,0.015599921190967711,0.10111718663609397,-0.12534190036261222,-0.053139654712973265,1.0,0.005804477573177912,0.00022027297160718325,0.000842531991818438,-0.0010085092352840358,-0.12458825589940269,-0.053188815081274335,-0.000644823996145803,0.0016807167593890443,-0.0013125789846325814,0.0010938851560119704
acct_num,0.015658070971076066,0.005703020828807769,0.011107841025269401,0.0007110732920689886,0.0008756070063468531,-0.002204466156075582,0.005804477573177912,1.0,-0.0018724102217174126,0.0013367022841916586,-0.0009131821595313411,0.0009519234916818442,-0.0021964434923176105,-0.0015341534491171464,-0.001121856015813319,0.00032393833098264614,-1.4143444566628917e-05
unix_time,0.00019328116945595402,-0.00028655017825014294,-0.0008286804797855923,-0.0007984769124745284,0.0003176333671854801,0.00013126498382669402,0.00022027297160718325,-0.0018724102217174126,1.0,-0.036099382635255896,-0.008414843277216434,0.0002981992799991455,0.00013328343491614882,0.8672057361472121,0.4923942850927431,0.0465038835870059,0.6532036382395001
amt,-0.002671381266326547,0.0010230107051725865,-0.00218701810699439,0.0006184365803097046,0.001370256444529373,-0.0007099696229520258,0.000842531991818438,0.0013367022841916586,-0.036099382635255896,1.0,0.21131892828270513,0.0015278507901210375,-0.0007408983002348705,-0.02937150537771692,-0.021126228494106333,-0.002003631049712308,-0.024994114570786555
is_fraud,0.00019137671448057723,0.0003188233629872782,0.00027151211196817796,-0.0010465294645684608,0.00047905386147819787,0.001404880976600449,-0.0010085092352840358,-0.0009131821595313411,-0.008414843277216434,0.21131892828270513,1.0,0.0003942958618788799,0.0014265771942833848,-0.001956242674635097,-0.013425848243664374,-0.002153361254918651,0.00438434437419946
merch_lat,0.003321371904707268,-0.010194145848066395,0.0014301311554350863,-0.15378980117742494,0.9938690357754105,0.10044103221445784,-0.12458825589940269,0.0009519234916818442,0.0002981992799991455,0.0015278507901210375,0.0003942958618788799,1.0,0.10030655755603252,0.0011018562287624838,-0.001433394851879232,0.0011541616425075325,0.0026897945996920683
merch_long,0.019469184456480767,-0.007598138511470416,0.02214424045864869,-0.9273399689886274,0.1008415112031701,0.9993849232120073,-0.053188815081274335,-0.0021964434923176105,0.00013328343491614882,-0.0007408983002348705,0.0014265771942833848,0.10030655755603252,1.0,0.0006155558432720629,-0.0006810664317472708,-0.0015520052493681333,-0.0009130911382135212
trans_year,8.82558889586747e-05,-0.00022336552195184289,-0.000245644040755942,-0.0011964863461600573,0.0010062397829277714,0.0006133932042540262,-0.000644823996145803,-0.0015341534491171464,0.8672057361472121,-0.02937150537771692,-0.001956242674635097,0.0011018562287624838,0.0006155558432720629,1.0,-0.004348149262039607,0.00015725018658255082,0.5710209954106112
